name
Aban Offshore
ABG Shipyard
ABP Group
ACC Limited
ACG Group
Acko General Insurance
Action Construction Equipment (ACE)
Action Group
Adani Group
Aditya Birla Group
Ador Group
Advanced Weapons and Equipment India
Afcons Infrastructure
Agriculture Insurance Company of India
Air Costa
Air India
Air India Express
Alkem Laboratories
Allcargo Logistics
Amartex
Ambuja Cements
Amrutanjan Healthcare
Amul
Angel One
Apollo Hospitals
Apollo Tyres
Aptech
Archies
Arise India
Armoured Vehicles Nigam (AVANI)
Artemis Hospital
Arvind
Ashok Leyland
Asia MotorWorks
Asian Paints Ltd
Atul
Avantha Group
Axis Bank
Bajaj Auto
Bajaj Group
Balaji Group
Balaji Telefilms
Ballarpur Industries Limited
Bank of Baroda
Bank of India
Bank of Maharashtra
Bellatrix Aerospace
BGR Energy Systems Ltd
Bharat Aluminium Company
Bharat Biotech
Bharat Dynamics Limited
Bharat Earth Movers
Bharat Electronics Limited
Bharat Forge
Bharat Heavy Electricals
Bharat Petroleum
Bharat Sanchar Nigam Limited
Bharati Shipyard
Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)
Bharti Airtel
Biocon
Black Box Corporation
Blue Star
BluSmart Mobility
Bombay Dyeing
Bonn Group of Industries
Borosil
BPL Group
BrahMos Aerospace
Brigade Enterprises
Britannia Industries
Cadila Healthcare
Café Coffee Day
Canara Bank
CaratLane
CEAT
Celkon
Central Bank of India
Centum Electronics
Century Plyboards
CESC Limited
Chennai Petroleum Corporation
Cipla
City Union Bank
CMC
Coal India Limited
Cochin Minerals and Rutile Limited
Cochin Shipyard Limited
Computer Age Management Services
Container Corporation of India
Coromandel International
Cosmic Circuits
Crompton Greaves
Crossword Bookstores
CSB Bank
Cyient
Dabur
Damodar Valley Corporation
Datamatics
Deccan Charters
Dedicated Freight Corridor Corporation of India
Dempo
Dena Bank
Dish TV
Dixon Technologies
DLF
DMart
Dr. Reddy's Laboratories
Dynamatic Technologies
e-Dhara Kendra
EaseMyTrip
Edelweiss Group
Eicher Motors
EID Parry
Electronics Corporation of India Limited
Emami
Emcure Pharmaceuticals
Engineers India
English Indian Clays
Escorts Group
Essar Group
Essel Group
Eureka Forbes
Eveready Industries India
Exide Industries
Exide Life Insurance
Federal Bank
Financial Technologies Group
Firstsource
Flipkart
Forbes & Company Limited
Force Motors
Fortis Healthcare
Future Group
GAIL
Galaxy Surfactants
Garden Reach Shipbuilders & Engineers
Geojit Financial Services
Gini & Jony
Glenmark Pharmaceuticals
GMR Group
Goa Shipyard
GoAir Airlines
Godrej Group
Great Eastern Shipping
Greaves Cotton
Greenply
Gujarat Alkalies and Chemicals Limited (GACL)
Gujarat Mineral Development Corporation (GMDC)
Gujarat State Fertilizers and Chemicals (GSFC)
Gujarat State Petroleum Corporation (GSPC)
GVK
Haldiram's
Hatsun Agro Product
Havells
Hawkins Cookers
HCL Technologies
HDFC Bank
HDIL
Hero Cycles
Hero FinCorp
Hero MotoCorp
HFCL
The Himalaya Drug Company
Hindalco Industries
Hindustan Aeronautics Limited
Hindustan Construction Company
Hindustan Copper
Hindustan Motors
Hindustan Petroleum
Hindustan Shipyard
Hindustan Times
Hindustan Unilever
Hindustan Zinc
HLL Lifecare
HMT
Housing Development Finance Corporation (HDFC)
iball
ICICI Bank
IDBI Bank
Idea Cellular
Ideal Jawa
IDFC First Bank
IIFL Holdings Limited
India Cements
India Optel
Indiabulls
Indian Bank
Indian Oil Corporation
Indian Overseas Bank
Indian Railway Finance Corporation
Indian Railways
Indian Railway Stations Development Corporation
Indian Telephone Industries Limited
IndiGo
Indo Gulf Fertilisers
IndusInd Bank
Infibeam
Infosys
Infrastructure Development Finance Company (IDFC)
Infrastructure Leasing & Financial Services (IL&FS)
InMobi
Inox Air Products
Inox Wind
Integral Coach Factory
Intelenet Global Services
Intex Technologies
Ircon International
ITC
Ittiam Systems
Jabong.com
Jain Irrigation Systems
Jakson Group
Jaypee Group
Jet Airways
Jindal Stainless
Jindal Steel and Power
JSW Energy
JSW Steel Ltd
Jubilant FoodWorks
Kalyani Group
Karbonn Mobiles
Karnataka Bank
Karur Vysya Bank
Kerala Electrical and Allied Engineering Company (KEL)
Khadim's
Kingfisher
Kirloskar Group
Kokuyo Camlin
Konkan Railway Corporation
Kotak Mahindra Bank
KPIT Technologies
KSK Energy Ventures
Kudremukh Iron Ore Company
Lakshmi Machine Works
Lakshmi Vilas Bank
Lanco Infratech
Larsen & Toubro
Lava International
Liberty Shoes
Life Insurance Corporation
Living Media
Mahanadi Coalfields
Mahindra Aerospace
Mahindra & Mahindra
Mahindra Group
MakeMyTrip
Mangalore Chemicals & Fertilizers
Mangalore Refinery and Petrochemicals Limited
Marico
Maruti Suzuki
Mastek
Max Group
Max Healthcare
Max Life Insurance
Max Ventures and Industries
Mazagon Dock Shipbuilders
MECON
Mercator
Metro Shoes
Microland
Micromax Informatics
Milky Mist Dairy
Mindspace
Mindtree
Mishra Dhatu Nigam Limited (MIDHANI)
Mistral Solutions
