name
Mandarin Chinese
Spanish
English
Hindi
Bengali
Portuguese
Russian
Japanese
Western Punjabi
Marathi
Telugu
Wu Chinese
Turkish
Korean
French
German
Vietnamese
Tamil
Yue Chinese (Cantonese)
Urdu
Javanese
Italian
Egyptian Arabic
Gujarati
Iranian Persian (Farsi)
Bhojpuri
Southern Min (Hokkien)
Hakka Chinese
Jin Chinese
Hausa
Kannada
Indonesian
Polish
Yoruba
Xiang Chinese
Malayalam
Odia (Oriya)
Maithili
Burmese
Eastern Punjabi
Sunda
Sudanese Arabic
Algerian Arabic
Moroccan Arabic
Ukrainian
Igbo
Northern Uzbek
Sindhi
North Levantine Arabic
Romanian
